TableS1.- Genes included in SureSelect capture library.		
A: Previously analyzed genes (Liu et al, Nature 2008; Pavri et al, Cell, 2008); B: Cancer related genes; C: Randomly picked genes		

Gene	Origin	Status
Gpx1	C	Non-mutated
Gpx2	C	Non-mutated
Grik2	C	Non-mutated
Grip1	C	Non-mutated
Grlf1	C	Non-mutated
Grn	C	Non-mutated
Grsf1	C	Non-mutated
Gsdma3	C	Non-mutated
Gsdmd	C	Non-mutated
Gsk3b	C	Non-mutated
Gss	C	Non-mutated
Gsta3	C	Mutated
Gstk1	C	Non-mutated
Gstp1	C	Non-mutated
Guca2a	C	Non-mutated
Gucy1a2	C	Non-mutated
Gucy1a3	C	Non-mutated
Gulo	C	Non-mutated
Gyk	C	Non-mutated
Gykl1	C	Non-mutated
Gypa	C	Non-mutated
Gzmb	C	Non-mutated
H2-Aa	C	Non-mutated
H2-Bl	C	Non-mutated
H47	C	Mutated
H60c	C	Non-mutated
Hba-a1	C	Non-mutated
Hck	C	Non-mutated
Hdac2	C	Non-mutated
Hdac3	C	Non-mutated
Hdac6	C	Non-mutated
Hdac7	C	Non-mutated
Hdac9	C	Mutated
Hdc	C	Non-mutated
Hectd1	C	Non-mutated
Hells	C	Mutated
Hif3a	C	Non-mutated
Hint1	C	Non-mutated
Hist1h1a	C	Mutated
Hist1h1b	C	Mutated
Hist1h1t	C	Non-mutated
Hlf	C	Non-mutated
Hltf	C	Non-mutated
Hopx	C	Non-mutated
Hoxa3	C	Non-mutated
Hoxa3	C	Non-mutated
Hoxb1	C	Non-mutated
Hoxb5	C	Non-mutated
Hoxd12	C	Non-mutated
Hoxd13	C	Non-mutated
Hpx	C	Non-mutated
Hrg	C	Non-mutated
Hrh1	C	Non-mutated
Hsd17b12	C	Non-mutated
Hsf4	C	Mutated
Hspa1a	C	Non-mutated
Hspa1b	C	Non-mutated
Hspb2	C	Non-mutated
Htr3b	C	Non-mutated
Htr5a	C	Non-mutated
Hvcn1	C	Mutated
Hyal5	C	Non-mutated
Icam1	C	Non-mutated
Icmt	C	Non-mutated
Icosl	C	Non-mutated
Id1	C	Non-mutated
Id2	C	Non-mutated
Id4	C	Non-mutated
Ifitm1	C	Non-mutated
Ifnar1	C	Non-mutated
Ifnar2	C	Non-mutated
Igf2	C	Non-mutated
Igfbp3	C	Non-mutated
Ighg1	C	Non-mutated
Ighg2b	C	Non-mutated
Ighg2c	C	Non-mutated
Ighm	C	Non-mutated
Igsf5	C	Non-mutated
Igsf9	C	Non-mutated
Ikbkb	C	Non-mutated
Ikbkg	C	Non-mutated
Ikzf2	C	Non-mutated
Il17c	C	Non-mutated
Il19	C	Non-mutated
Il21	C	Non-mutated
Il25	C	Non-mutated
Il2ra	C	Non-mutated
Il3	C	Non-mutated
Il4	C	Non-mutated
Il6	C	Non-mutated
Il7	C	Non-mutated
Il7r	C	Non-mutated
Ildr2	C	Mutated
Impact	C	Non-mutated
Ing1	C	Non-mutated
Insig1	C	Non-mutated
Ipmk	C	Mutated
Ipo11	C	Non-mutated
Ipo11	C	Non-mutated
Ipo7	C	Mutated
Irf6	C	Non-mutated
Irg1	C	Non-mutated
Irs1	C	Non-mutated
Islr2	C	Non-mutated
Itch	C	Non-mutated
Itga1	C	Non-mutated
Itga2b	C	Non-mutated
Itga4	C	Mutated
Itga5	C	Non-mutated
Itgal	C	Mutated
Itgam	C	Non-mutated
Nmrk2	C	Non-mutated
Itgb2	C	Mutated
Itpka	C	Non-mutated
Jag2	C	Non-mutated
Jak3	C	Non-mutated
Jmjd6	C	Non-mutated
Jun	C	Non-mutated
Junb	C	Mutated
Jund	C	Non-mutated
Kcna5	C	Non-mutated
Kcnj8	C	Non-mutated
Kif17	C	Non-mutated
Kif1b	C	Non-mutated
Kifap3	C	Non-mutated
Kiss1	C	Non-mutated
Kiss1r	C	Non-mutated
Kit	C	Non-mutated
Kitl	C	Non-mutated
Klb	C	Non-mutated
Klk1	C	Non-mutated
Kpnb1	C	Mutated
Krt20	C	Non-mutated
Krt27	C	Non-mutated
L1cam	C	Non-mutated
Lag3	C	Non-mutated
Lamtor3	C	Non-mutated
Large	C	Non-mutated
CerS2	C	Non-mutated
Lats2	C	Non-mutated
Lbp	C	Non-mutated
Lbx1	C	Non-mutated
Lcat	C	Non-mutated
Lck	C	Non-mutated
Lef1	C	Non-mutated
Lepr	C	Non-mutated
Lepre1	C	Non-mutated
Lgals1	C	Non-mutated
Lgals4	C	Non-mutated
Lifr	C	Non-mutated
Lig4	C	Non-mutated
